princeton,city_name,state_code,distance_learning,tuition,website,gpa,SAT,ACT
A T Still University of Health Sciences,Kirksville,MO,0,0,http://www.atsu.edu,3.19,1430,32
Abilene Christian University,Abilene,TX,1,24444,http://www.acu.edu,3.69,1306,29
Abraham Baldwin Agricultural College,Tifton,GA,0,0,http://www.abac.edu,3.16,1227,27
Academy College,Minneapolis,MN,0,0,http://www.academycollege.edu,3.55,1137,25
Academy For Five Element Acupuncture,Hallandale Beach,FL,0,0,http://www.acupuncturist.edu,3.63,1372,31
Academy of Art University,San Francisco,CA,0,0,http://www.academyart.edu,3.59,1114,25
Academy of Chinese Culture and Health Sciences,Oakland,CA,0,0,http://www.acchs.edu,3.34,1304,29
Academy of Oriental Medicine,Austin,TX,0,0,http://www.aoma.edu,3.65,1240,28
ACT College,Arlington,VA,0,0,http://www.actcollege.edu,3.51,1141,25
Acupuncture & Integrative Medicine College-Berkeley,Berkeley,CA,0,0,http://www.aimc.edu,3.35,1214,27
Acupuncture and Massage College,Miami,FL,0,0,http://www.amcollege.edu,3.13,1439,32
Adams State College,Alamosa,CO,0,0,http://www.adams.edu,3.57,1273,28
Adelphi University,Garden City,NY,0,0,http://www.adelphi.edu,3.4,1403,31
Adirondack Community College,Queensbury,NY,0,0,http://www.sunyacc.edu,3.3,1241,28
Adler Graduate School,Richfield,MN,0,0,http://www.alfredadler.edu,3.47,1314,29
Adler School of Professional Psychology,Chicago,IL,0,0,http://www.adler.edu,3.13,1273,28
Adrian College,Adrian,MI,0,17253,http://www.adrian.edu,3.55,1373,31
Advanced Technology Institute,Virginia Beach,VA,0,0,http://www.auto.edu,3.4,1349,30
Agnes Scott College,Decatur,GA,0,19044,http://www.agnesscott.edu,3.56,1166,26
AI Miami International University of Art and Design,Miami,FL,0,0,http://www.aimiu.aii.edu,3,1234,28
AIB College of Business,Des Moines,IA,0,0,http://www.aib.edu,3.69,1231,27
Aiken Technical College,Graniteville,SC,0,0,http://www.atc.edu,3.51,1190,27
Aims Community College,Greeley,CO,0,0,http://www.aims.edu,3.4,1135,25
Air Force Institute of Technology-Graduate School of Engineering & Management,Dayton,OH,0,0,http://www.afit.edu,3.27,1364,31
Akron Institute of Herzing University,Akron,OH,0,0,http://www.akroninstitute.com,3.43,1250,28
Alabama A & M University,Normal,AL,0,0,http://www.aamu.edu/,3.19,1373,31
Alabama Southern Community College,Monroeville,AL,0,0,http://www.ascc.edu,3.31,1188,27
Alabama State University,Montgomery,AL,0,0,http://www.alasu.edu,3.66,1353,30
Alamance Community College,Graham,NC,0,0,http://www.alamance.cc.nc.us,3.18,1117,25
Alamo Community College District Central Office,San Antonio,TX,0,0,http://www.accd.edu,3.4,1115,25
Alaska Bible College,Glennallen,AK,0,8227,http://www.akbible.edu/,3.1,1181,26
Alaska Christian College,Soldotna,AK,0,4419,http://www.akcc.org,3.29,1215,27
Alaska Pacific University,Anchorage,AK,0,0,http://www.alaskapacific.edu,3.66,1362,30
Alaska Pacific University,Anchorage,AK,1,29592,http://www.alaskapacific.edu,3.69,1137,25
Albany College of Pharmacy and Health Sciences,Albany,NY,0,0,http://www.acp.edu,3.5,1435,32
Albany Law School,Albany,NY,0,0,http://www.albanylaw.edu,3.68,1360,30
Albany Medical College,Albany,NY,0,0,http://www.amc.edu,3.55,1337,30
Albany State University,Albany,GA,0,0,http://asuweb.asurams.edu/,3.13,1352,30
Albany Technical College,Albany,GA,0,0,http://www.albanytech.edu,3.54,1259,28
Albertus Magnus College,New Haven,CT,1,20726,http://www.albertus.edu,3.17,1146,26
Albion College,Albion,MI,0,21039,http://www.albion.edu,3.27,1374,31
Albright College,Reading,PA,0,25453,http://www.albright.edu,3.66,1428,32
Alcorn State University,Alcorn State,MS,0,0,http://www.alcorn.edu,3.01,1301,29
Alderson Broaddus College,Philippi,WV,0,13735,http://www.ab.edu/,3.02,1367,31
Alegent Health School of Radiologic Technology,Omaha,NE,0,0,http://www.alegent.com,3.15,1385,31
Alexandria School of Scientific Therapeutics,Alexandria,IN,0,0,http://www.assti.com,3.22,1105,25
Alexandria Technical College,Alexandria,MN,0,0,http://www.alextech.edu,3.7,1291,29
Alfred University,Alfred,NY,0,0,http://www.alfred.edu,3.42,1427,32
Alice Lloyd College,Pippa Passes,KY,0,0,http://www.alc.edu,3.23,1154,26
Allan Hancock College,Santa Maria,CA,0,0,http://www.hancockcollege.edu/,3.6,1237,28
Allegany College of Maryland,Cumberland,MD,0,0,http://www.allegany.edu,3.4,1137,25
Allegheny College,Meadville,PA,0,25140,http://www.allegheny.edu,3.24,1303,29
Allegheny Wesleyan College,Salem,OH,0,6157,http://awc.edu,3.09,1274,28
Allen College,Waterloo,IA,0,0,http://www.allencollege.edu,3.18,1331,30
Allen County Community College,Iola,KS,0,0,http://www.allencc.edu,3.54,1358,30
Allen University,Columbia,SC,0,12444,http://allenuniversity.edu,3.11,1315,29
Alliant International University,San Diego,CA,0,0,http://www.alliant.edu,3.16,1317,29
Alliant International University-System Office,San Francisco,CA,0,0,http://www.alliant.edu,3.21,1402,31
Allied College North,Maryland Heights,MO,0,0,http://hightechinstitute.edu,3.31,1175,26
Allied College South,Fenton,MO,0,0,http://www.hightechinstitute.edu,3.45,1239,28
Allied Medical and Technical Institute,Forty Fort,PA,0,0,http://www.alliedteched.edu,3.49,1354,30
Allied Medical and Technical Institute,Scranton,PA,0,0,http://alliedteched.edu,3.33,1255,28
Alma College,Alma,MI,0,19001,http://www.alma.edu,3.23,1443,32
Alpena Community College,Alpena,MI,0,0,http://www.alpenacc.edu,3,1127,25
Altamaha Technical College,Jesup,GA,0,0,http://www.altamahatech.edu,3.64,1191,27
Alvernia University,Reading,PA,1,25574,http://www.alvernia.edu,3.29,1319,29
Alverno College,Milwaukee,WI,0,14133,http://www.alverno.edu,3.29,1278,29
Alvin Community College,Alvin,TX,0,0,http://www.alvincollege.edu,3.63,1282,29
Amarillo College,Amarillo,TX,0,0,http://www.actx.edu,3.48,1272,28
Amberton University,Garland,TX,1,0,http://www.amberton.edu,3.36,1368,31
American Academy McAllister Institute of Funeral Service,New York,NY,0,0,http://www.funeraleducation.org,3.39,1138,25
American Academy of Acupuncture and Oriental Medicine,Roseville,MN,0,0,http://www.aaaom.edu,3.2,1327,30
American Academy of Art,Chicago,IL,0,0,http://www.aaart.edu,3.24,1358,30
American Academy of Dramatic Arts,New York,NY,0,0,http://www.aada.org,3.15,1406,31
American Academy of Dramatic Arts-West,Los Angeles,CA,0,0,http://www.aada.org,3.29,1193,27
American Baptist College,Nashville,TN,1,17185,http://www.abcnash.edu,3.46,1379,31
American Baptist Seminary of the West,Berkeley,CA,1,0,http://www.absw.edu,3.57,1110,25
American College,Bryn Mawr,PA,0,0,http://www.theamericancollege.edu,3.48,1374,31
American College of Acupuncture and Oriental Med,Houston,TX,0,0,http://www.acaom.edu,3.14,1396,31
American College of Traditional Chinese Medicine,San Francisco,CA,0,0,http://www.actcm.edu,3.19,1100,25
American Conservatory Theater,San Francisco,CA,0,0,http://www.act-sf.org,3.7,1299,29
American Film Institute Conservatory,Los Angeles,CA,0,0,http://www.afi.com,3.46,1169,26
American Indian College of the Assemblies of God Inc,Phoenix,AZ,1,16246,http://www.aicag.edu/,3.03,1379,31
American Intercontinental University,Weston,FL,0,0,http://www.aiufl.edu,3.04,1348,30
